"Comment","Designator","Footprint","LCSC Part #"
"22uF","C2,C1,C6,C7","C_0805_2012Metric","C45783"
"1uF","C3","C_0402_1005Metric","C52923"
"100nF","C4,C5","C_0402_1005Metric","C1525"
"22pF","C8","C_0402_1005Metric","C1555"
"KAPUTT :(","D1","LED_0603_1608Metric","C2286"
"PWR","D2","LED_0603_1608Metric","C72043"
"LED1","D3","LED_0603_1608Metric","C72038"
"LED2","D4","LED_0603_1608Metric","C2290"
"2A","F1","Fuse_Littelfuse-NANO2-451_453","C99547"
"10uH","L1","L_Sumida_CDMC6D28_7.25x6.5mm","C167223"
"100kR","R4","R_0402_1005Metric","C25741"
"22kR","R5,R2","R_0402_1005Metric","C25768"
"5.1kR","R6,R7,R1,R3","R_0402_1005Metric","C25905"
"SY8204","U1","HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.1mm_ThermalVias","C125895"
